source_node_index,target_node_index,source_iz_code,target_iz_code,multimodal_distance_km,shortest_mode,neighbour_rank,weight
60,57,S02001902,S02001899,2.0003596598003943,bicycle,4,0.27131693946845775
60,65,S02001902,S02001907,2.1291095356835834,walking,5,0.24946727196015722
61,59,S02001903,S02001901,1.3122020585929184,walking,1,0.4249819131700897
61,60,S02001903,S02001902,1.6753682089830744,walking,2,0.33536515623113566
61,63,S02001903,S02001905,1.8863804421451869,bicycle,3,0.2922516917608503
61,58,S02001903,S02001900,2.076902031158326,walking,4,0.2581067113702657
61,62,S02001903,S02001904,2.4443547195734854,bicycle,5,0.2031106964308796
62,63,S02001904,S02001905,1.3333348422385543,walking,1,0.4191653922689594
62,64,S02001904,S02001906,2.420141967318082,bicycle,2,0.20634317263033383
62,61,S02001904,S02001903,2.4443547195734863,bicycle,3,0.20311069643087948
62,65,S02001904,S02001907,2.4860121284484475,bicycle,4,0.19766736587423217
62,59,S02001904,S02001901,3.0700981031996197,bicycle,5,0.13505654219554872
63,62,S02001905,S02001904,1.3333348422385536,walking,1,0.41916539226895955
63,65,S02001905,S02001907,1.3707800823598604,bicycle,2,0.4090538919431336
63,64,S02001905,S02001906,1.6692928971065102,walking,3,0.3366964451364778
63,61,S02001905,S02001903,1.8863804421451862,bicycle,4,0.2922516917608505
63,59,S02001905,S02001901,2.512123825771319,bicycle,5,0.1943300064132861
64,65,S02001906,S02001907,1.5585561314503436,walking,1,0.36190981277067297
64,63,S02001906,S02001905,1.6692928971065106,bicycle,2,0.3366964451364776
64,62,S02001906,S02001904,2.420141967318082,bicycle,3,0.20634317263033383
64,73,S02001906,S02001915,2.4335664749299717,bicycle,4,0.20454465751913614
64,66,S02001906,S02001908,2.7270098950745814,walking,5,0.16892030194147156
65,63,S02001907,S02001905,1.3707800823598602,bicycle,1,0.40905389194313363
65,66,S02001907,S02001908,1.5215795834486527,bicycle,2,0.37074261561421135
65,64,S02001907,S02001906,1.5585561314503438,walking,3,0.36190981277067297
65,60,S02001907,S02001902,2.129109535683584,bicycle,4,0.2494672719601572
65,62,S02001907,S02001904,2.4860121284484475,bicycle,5,0.19766736587423217
66,65,S02001908,S02001907,1.5215795834486532,bicycle,1,0.3707426156142113
66,67,S02001908,S02001909,1.7794066038314966,bicycle,2,0.3133669282143414
66,68,S02001908,S02001910,1.9962549549057562,road,3,0.27204415884656413
66,57,S02001908,S02001899,2.242787065765009,walking,4,0.2316428473265402
66,60,S02001908,S02001902,2.2816192225814547,walking,5,0.2258505827868103
67,68,S02001909,S02001910,1.0056473559770296,road,1,0.5190270510156603
67,69,S02001909,S02001911,1.3974855041957261,walking,2,0.40199187025873023
67,66,S02001909,S02001908,1.779406603831497,bicycle,3,0.31336692821434137
67,70,S02001909,S02001912,1.8146342085991827,bicycle,4,0.3062501632031808
67,72,S02001909,S02001914,1.8523061541854482,walking,5,0.2988183297432807
68,67,S02001910,S02001909,1.0056473559770296,road,1,0.5190270510156603
68,69,S02001910,S02001911,1.0401745611300313,bicycle,2,0.5074713426377613
68,55,S02001910,S02001897,1.5669684600661455,road,3,0.3599298769225758
68,54,S02001910,S02001896,1.9579011342456258,bicycle,4,0.2789341026491116
68,66,S02001910,S02001908,1.9962549549057569,road,5,0.27204415884656397
69,68,S02001911,S02001910,1.0401745611300313,bicycle,1,0.5074713426377613
69,54,S02001911,S02001896,1.109858050168664,road,2,0.48492705896500793
69,53,S02001911,S02001895,1.310655033392168,bicycle,3,0.4254108685683197
69,67,S02001911,S02001909,1.3974855041957261,walking,4,0.40199187025873023
69,70,S02001911,S02001912,1.4617239577923637,road,5,0.38549988974040494
70,71,S02001912,S02001913,1.2015559681676837,walking,1,0.45677948934096757
70,72,S02001912,S02001914,1.35031354399308,bicycle,2,0.4145499528071519
70,69,S02001912,S02001911,1.4617239577923637,road,3,0.38549988974040494
70,74,S02001912,S02001916,1.5334682320533126,walking,4,0.36787944117144233
70,87,S02001912,S02001929,1.7341064337591932,bicycle,5,0.32276218696812764
71,74,S02001913,S02001916,0.6559445080738385,bicycle,1,0.6519729119374791
71,70,S02001913,S02001912,1.2015559681676835,bicycle,2,0.4567794893409677
71,72,S02001913,S02001914,1.2167773198456602,bicycle,3,0.4522678810082244
71,87,S02001913,S02001929,1.68842211972104,walking,4,0.33252241975686103
71,86,S02001913,S02001928,2.175487531220195,walking,5,0.24203537036935469
72,71,S02001914,S02001913,1.2167773198456602,bicycle,1,0.4522678810082244
72,70,S02001914,S02001912,1.3503135439930805,walking,2,0.4145499528071518
72,74,S02001914,S02001916,1.4425802965736978,bicycle,3,0.3903425961322239
72,67,S02001914,S02001909,1.852306154185448,bicycle,4,0.2988183297432808
72,73,S02001914,S02001915,2.086766837121185,walking,5,0.25645163933325366
73,72,S02001915,S02001914,2.086766837121184,walking,1,0.2564516393332539
73,74,S02001915,S02001916,2.3388344146383293,walking,2,0.2175791449892663
73,71,S02001915,S02001913,2.3905591373943125,bicycle,3,0.21036247664838575
73,64,S02001915,S02001906,2.4335664749299712,bicycle,4,0.2045446575191362
73,66,S02001915,S02001908,2.558693747244978,walking,5,0.1885171080675791
74,71,S02001916,S02001913,0.6559445080738386,bicycle,1,0.651972911937479
74,72,S02001916,S02001914,1.4425802965736976,bicycle,2,0.390342596132224
74,70,S02001916,S02001912,1.5334682320533126,bicycle,3,0.36787944117144233
74,87,S02001916,S02001929,1.7008292967366434,walking,4,0.3298428603515659
74,75,S02001916,S02001917,1.9012850113848059,bicycle,5,0.2894249064705432
75,78,S02001917,S02001920,1.5565442987067004,bicycle,1,0.3623849317342024
75,74,S02001917,S02001916,1.9012850113848059,walking,2,0.2894249064705432
75,76,S02001917,S02001918,2.2279599833635713,bicycle,3,0.23389346174931874
75,79,S02001917,S02001921,2.2460807756448773,bicycle,4,0.2311458396114197
75,71,S02001917,S02001913,2.3581256649904696,walking,5,0.2148591131988408
76,77,S02001918,S02001919,1.8513689787368162,walking,1,0.29900100766793225
76,75,S02001918,S02001917,2.2279599833635717,walking,2,0.2338934617493187
76,78,S02001918,S02001920,2.25532978145369,walking,3,0.22975589562222262
76,80,S02001918,S02001922,3.1035708796793973,walking,4,0.13214044980491466
76,79,S02001918,S02001921,3.3006915351349404,walking,5,0.11620080016585885
77,78,S02001919,S02001920,1.6012214983597732,walking,1,0.351979259955925
77,76,S02001919,S02001918,1.8513689787368157,bicycle,2,0.2990010076679323
77,80,S02001919,S02001922,2.21338904729726,walking,3,0.23612649765680238
77,79,S02001919,S02001921,2.342525305356825,road,4,0.21705608545337218
77,81,S02001919,S02001923,2.5512594251243197,walking,5,0.18943326637694702
78,79,S02001920,S02001921,1.1597502942017253,road,1,0.469403588434365
78,75,S02001920,S02001917,1.5565442987066997,bicycle,2,0.36238493173420255
78,77,S02001920,S02001919,1.6012214983597726,walking,3,0.35197925995592516
78,80,S02001920,S02001922,1.6056445335810021,walking,4,0.3509654967761279
78,76,S02001920,S02001918,2.25532978145369,bicycle,5,0.22975589562222262
79,80,S02001921,S02001922,1.0578801576218961,road,1,0.5016457178794433
79,78,S02001921,S02001920,1.1343839671843339,road,2,0.4772329467080819
79,81,S02001921,S02001923,1.7644725704315818,walking,3,0.3164336328521056
79,82,S02001921,S02001924,2.1266741332147334,road,4,0.24986378223703848
79,83,S02001921,S02001925,2.1800164363286276,walking,5,0.2413216039432774
80,81,S02001922,S02001923,0.8864713717815887,bicycle,1,0.5609729202561503
80,79,S02001922,S02001921,1.057880157621896,road,2,0.5016457178794433
80,82,S02001922,S02001924,1.5652329708100097,walking,3,0.36033745500491066
80,78,S02001922,S02001920,1.6056445335810023,walking,4,0.3509654967761279
80,83,S02001922,S02001925,2.0302863968455487,walking,5,0.26607332683839835
81,80,S02001923,S02001922,0.8864713717815891,bicycle,1,0.5609729202561501
81,82,S02001923,S02001924,1.7215024691712086,bicycle,2,0.3254259835123345
81,79,S02001923,S02001921,1.764472570431582,walking,3,0.3164336328521056
81,100,S02001923,S02001942,1.8377793541908836,bicycle,4,0.3016625361058161
81,102,S02001923,S02001944,1.9304273415944062,bicycle,5,0.28397655369689123
82,83,S02001924,S02001925,1.4065784675451845,walking,1,0.3996152436687593
82,80,S02001924,S02001922,1.5652329708100092,walking,2,0.3603374550049107
82,81,S02001924,S02001923,1.721502469171208,walking,3,0.32542598351233465
82,100,S02001924,S02001942,1.7296916082730176,bicycle,4,0.32369275198056224
82,98,S02001924,S02001940,1.8125786120257357,walking,5,0.3066609633086183
83,84,S02001925,S02001926,1.03739405205352,bicycle,1,0.5083923325012268
83,82,S02001925,S02001924,1.3887761452000644,road,2,0.40428148574712736
83,90,S02001925,S02001932,1.7811289423205323,walking,3,0.3130151628994806
83,85,S02001925,S02001927,1.7998747789104692,walking,4,0.3092120115083685
83,80,S02001925,S02001922,2.0302863968455487,walking,5,0.26607332683839835
84,83,S02001926,S02001925,1.03739405205352,bicycle,1,0.5083923325012268
84,85,S02001926,S02001927,1.364822194219692,walking,2,0.4106462547770265
84,86,S02001926,S02001928,1.5971325684060116,bicycle,3,0.35291905057182293
84,90,S02001926,S02001932,1.9242337519178176,walking,4,0.2851258379900822
84,89,S02001926,S02001931,1.9762887392585682,walking,5,0.27560941525620597
85,86,S02001927,S02001928,0.44460468704351735,walking,1,0.7483129015832962
85,88,S02001927,S02001930,0.7768303873256048,bicycle,2,0.6025504121365878
85,87,S02001927,S02001929,1.0360482319004163,walking,3,0.5088387095177911
85,89,S02001927,S02001931,1.1154277519648663,bicycle,4,0.48316895271448806
85,84,S02001927,S02001926,1.3648221942196919,walking,5,0.41064625477702654
86,85,S02001928,S02001927,0.4446046870435174,road,1,0.7483129015832962
86,87,S02001928,S02001929,0.784679322508914,walking,2,0.5994741852025719
86,88,S02001928,S02001930,1.0906343190432506,walking,3,0.49104442327169795
86,89,S02001928,S02001931,1.4211983512705106,walking,4,0.39582346854270195
86,84,S02001928,S02001926,1.5971325684060116,bicycle,5,0.35291905057182293
87,86,S02001929,S02001928,0.7846793225089141,bicycle,1,0.5994741852025719
87,85,S02001929,S02001927,1.0360482319004165,road,2,0.5088387095177911
