station_id,fclass,mode,snap_ok,snap_status,snap_distance_m,snap_node_index,snap_x,snap_y,Easting,Northing
29264597,railway_station,road,True,ok,29.882695303537258,36998,258487.45,661597.46,258457.56856073707,661597.733982078
29580729,railway_station,road,True,ok,23.094410924539446,42033,255823.05,664815.42,255819.22466002993,664792.6446056003
29580730,railway_station,road,True,ok,22.86970290223197,44134,255466.81,665639.34,255489.11931265483,665644.3716875603
29751009,railway_station,road,True,ok,43.34284298404009,42889,258921.64,665044.88,258939.41671540806,665005.3503854403
29751010,railway_station,road,True,ok,42.95571731371483,44389,259059.22,665502.38,259069.28676039827,665544.1394777867
29751011,railway_station,road,True,ok,13.531113745660338,20222,258730.13,664379.76,258729.68568909448,664393.2838170284
29751012,railway_station,road,True,ok,15.365874416018844,47711,258108.92,666571.14,258113.96310068574,666556.625275337
29776247,railway_station,road,True,ok,21.0868979493374,18917,256856.85,664257.98,256867.29812669987,664276.2964929391
30004633,railway_station,road,True,ok,22.08672321331149,19793,258223.05,664130.64,258244.15369735935,664137.1559266468
30004634,railway_station,road,True,ok,17.335903962998938,18830,257639.64,664191.18,257648.77172325132,664205.9158473349
30004721,railway_station,road,True,ok,20.918340708535496,17081,253105.39,663336.36,253118.54211314148,663320.0935038219
30004722,railway_station,road,True,ok,26.186591844505536,15051,253903.07,662961.52,253911.6840651351,662936.7907566982
30558472,railway_station,road,True,ok,19.79964668687869,6722,269344.73,660875.38,269349.80631432665,660894.5178431852
30558629,railway_station,road,True,ok,19.554220710157377,5755,263939.02,660586.3,263948.8828493189,660603.1846602245
30564102,railway_station,road,True,ok,86.68976515521956,36155,262037.63,660297.94,262054.01547315752,660383.0671499115
30564107,railway_station,road,True,ok,66.77290949483341,36422,260517.74,660637.19,260485.11565650115,660578.9296047586
30564108,railway_station,road,True,ok,64.3702919494818,36263,259368.65,660692.52,259359.61032951856,660756.2524002627
30618416,railway_station,road,True,ok,39.204761103434535,56190,256233.45,669514.46,256211.260613331,669546.7809593364
30619273,railway_station,road,True,ok,37.077108246379375,35391,254466.96,660237.5,254430.57237210806,660244.6170564359
30619281,railway_station,road,True,ok,66.69651329716619,34468,252172.64,660080.25,252179.91536334177,660146.5485216596
30669961,railway_station,road,True,ok,29.901875370589575,11537,256792.03,661416.37,256819.23229771075,661428.7860037828
30669973,railway_station,road,True,ok,39.69435746771074,35976,257492.33,660939.83,257484.30399835476,660978.704481506
30669981,railway_station,road,True,ok,37.05990447435546,12973,258773.99,662272.88,258759.39507944844,662306.9450086415
30669985,railway_station,road,True,ok,30.408821586247072,12143,258091.43,662557.76,258121.70352551644,662560.6253242521
30671368,railway_station,road,True,ok,31.360291757061404,15832,256017.63,663722.13,256038.66890177276,663698.8741940306
30736985,railway_station,road,True,ok,73.41483551011581,8193,266540.66,662789.52,266547.59139177215,662862.6068926763
30736994,railway_station,road,True,ok,24.528024336193482,10612,270280.54,663979.48,270273.49669474666,663955.9849828911
30737102,railway_station,road,True,ok,48.11153975939129,8804,267706.41,663299.13,267748.8803198115,663276.5248635677
150749619,railway_station,road,True,ok,16.834337360067078,10284,271877.54,664211.6,271876.18179056665,664228.3794571273
165098109,railway_station,road,True,ok,39.04301521090954,35380,253312.99,660134.58,253275.11799647595,660125.0895634539
165122033,railway_station,road,True,ok,44.5596662512796,56413,256749.31,669712.4,256776.40684457426,669677.0259294038
168325631,railway_station,road,True,ok,20.187053761769068,28624,255253.93,657650.97,255240.32608390442,657636.0552218774
254278052,railway_station,road,True,ok,7.723201064161183,43939,257202.78,665499.48,257200.9556943999,665491.9753518567
254354507,railway_station,road,True,ok,30.206536075576672,12745,261510.86,661949.1,261482.14785993774,661939.716619227
