source_node_index,target_node_index,source_iz_code,target_iz_code,percentage,weight,neighbour_rank
79,10,S02001921,S02001852,1.5636863215837576e-07,1.5636863215837576e-07,109
79,120,S02001921,S02001962,9.715188886083561e-08,9.715188886083561e-08,110
79,113,S02001921,S02001955,9.468130361376219e-08,9.468130361376219e-08,111
79,6,S02001921,S02001848,9.01792567318985e-08,9.01792567318985e-08,112
79,9,S02001921,S02001851,8.645420968165337e-08,8.645420968165337e-08,113
79,12,S02001921,S02001854,8.616073053087472e-08,8.616073053087472e-08,114
79,7,S02001921,S02001849,7.804241726075669e-08,7.804241726075669e-08,115
79,114,S02001921,S02001956,7.304230521285678e-08,7.304230521285678e-08,116
79,115,S02001921,S02001957,7.034975676682387e-08,7.034975676682387e-08,117
79,45,S02001921,S02001887,7.018933677525349e-08,7.018933677525349e-08,118
79,109,S02001921,S02001951,6.738913939535712e-08,6.738913939535712e-08,119
79,32,S02001921,S02001874,5.456333745840736e-08,5.456333745840736e-08,120
79,60,S02001921,S02001902,5.083101127304946e-08,5.083101127304946e-08,121
79,5,S02001921,S02001847,5.0384140358913054e-08,5.0384140358913054e-08,122
79,41,S02001921,S02001883,4.698736044787287e-08,4.698736044787287e-08,123
79,43,S02001921,S02001885,4.1176344891483563e-08,4.1176344891483563e-08,124
79,8,S02001921,S02001850,3.77138581328876e-08,3.77138581328876e-08,125
79,124,S02001921,S02001966,2.5192070179456527e-08,2.5192070179456527e-08,126
79,58,S02001921,S02001900,2.2202570822744e-08,2.2202570822744e-08,127
79,127,S02001921,S02001969,2.143564224952538e-08,2.143564224952538e-08,128
79,36,S02001921,S02001878,1.8449083466449052e-08,1.8449083466449052e-08,129
79,37,S02001921,S02001879,1.1090301941454486e-08,1.1090301941454486e-08,130
79,35,S02001921,S02001877,8.598796959896503e-09,8.598796959896503e-09,131
80,76,S02001922,S02001918,0.0005168811885542,0.0005168811885542,1
80,86,S02001922,S02001928,0.0004640882837468,0.0004640882837468,2
80,77,S02001922,S02001919,0.0003194179899082,0.0003194179899082,3
80,81,S02001922,S02001923,0.0002796008489126,0.0002796008489126,4
80,83,S02001922,S02001925,0.0002717468474685,0.0002717468474685,5
80,78,S02001922,S02001920,0.000264266231159,0.000264266231159,6
80,79,S02001922,S02001921,0.0002512763050702,0.0002512763050702,7
80,90,S02001922,S02001932,0.0002490683525072,0.0002490683525072,8
80,82,S02001922,S02001924,0.0002381428036125,0.0002381428036125,9
80,88,S02001922,S02001930,0.000185635572582,0.000185635572582,10
80,84,S02001922,S02001926,0.0001548487916491,0.0001548487916491,11
80,92,S02001922,S02001934,0.0001522781778894,0.0001522781778894,12
80,100,S02001922,S02001942,0.0001389348420821,0.0001389348420821,13
80,107,S02001922,S02001949,0.0001152224460505,0.0001152224460505,14
80,87,S02001922,S02001929,0.0001002555383206,0.0001002555383206,15
80,75,S02001922,S02001917,0.0001000251051691,0.0001000251051691,16
80,85,S02001922,S02001927,8.529030713010205e-05,8.529030713010205e-05,17
80,98,S02001922,S02001940,6.968349537448514e-05,6.968349537448514e-05,18
80,91,S02001922,S02001933,6.006977883984584e-05,6.006977883984584e-05,19
80,101,S02001922,S02001943,5.090615865454221e-05,5.090615865454221e-05,20
80,52,S02001922,S02001894,5.015110694015901e-05,5.015110694015901e-05,21
80,89,S02001922,S02001931,3.910652639992636e-05,3.910652639992636e-05,22
80,64,S02001922,S02001906,3.656569629932666e-05,3.656569629932666e-05,23
80,36,S02001922,S02001878,3.39272592333278e-05,3.39272592333278e-05,24
80,110,S02001922,S02001952,3.178938096646081e-05,3.178938096646081e-05,25
80,105,S02001922,S02001947,3.0896011887191905e-05,3.0896011887191905e-05,26
80,13,S02001922,S02001855,2.8762064796158947e-05,2.8762064796158947e-05,27
80,1,S02001922,S02001843,2.8715222469796608e-05,2.8715222469796608e-05,28
80,129,S02001922,S02001971,2.797665538815836e-05,2.797665538815836e-05,29
80,99,S02001922,S02001941,2.773458988451846e-05,2.773458988451846e-05,30
80,123,S02001922,S02001965,2.7350955883408028e-05,2.7350955883408028e-05,31
80,14,S02001922,S02001856,2.706223361535614e-05,2.706223361535614e-05,32
80,102,S02001922,S02001944,2.2753377826931207e-05,2.2753377826931207e-05,33
80,74,S02001922,S02001916,2.1073598185084907e-05,2.1073598185084907e-05,34
80,48,S02001922,S02001890,1.975687129748723e-05,1.975687129748723e-05,35
80,15,S02001922,S02001857,1.5222518647612013e-05,1.5222518647612013e-05,36
80,103,S02001922,S02001945,1.493631016886378e-05,1.493631016886378e-05,37
80,33,S02001922,S02001875,1.4780686535366802e-05,1.4780686535366802e-05,38
80,128,S02001922,S02001970,1.4644312118709226e-05,1.4644312118709226e-05,39
80,67,S02001922,S02001909,1.296729284583392e-05,1.296729284583392e-05,40
80,17,S02001922,S02001859,1.2813401586383909e-05,1.2813401586383909e-05,41
80,71,S02001922,S02001913,1.265121419626402e-05,1.265121419626402e-05,42
80,53,S02001922,S02001895,1.0414046371005172e-05,1.0414046371005172e-05,43
80,55,S02001922,S02001897,9.849098408377404e-06,9.849098408377404e-06,44
80,54,S02001922,S02001896,9.7730200270533e-06,9.7730200270533e-06,45
80,96,S02001922,S02001938,9.465354281267936e-06,9.465354281267936e-06,46
80,93,S02001922,S02001935,9.368654289235171e-06,9.368654289235171e-06,47
80,104,S02001922,S02001946,9.254672284602392e-06,9.254672284602392e-06,48
80,27,S02001922,S02001869,9.153729134023422e-06,9.153729134023422e-06,49
80,56,S02001922,S02001898,8.591704894548235e-06,8.591704894548235e-06,50
80,20,S02001922,S02001862,8.048527584266205e-06,8.048527584266205e-06,51
80,51,S02001922,S02001893,7.661236162549952e-06,7.661236162549952e-06,52
80,49,S02001922,S02001891,7.217723257738463e-06,7.217723257738463e-06,53
80,50,S02001922,S02001892,6.915437032402555e-06,6.915437032402555e-06,54
80,16,S02001922,S02001858,6.557603789355922e-06,6.557603789355922e-06,55
80,59,S02001922,S02001901,6.428538325382808e-06,6.428538325382808e-06,56
80,66,S02001922,S02001908,5.876287308083482e-06,5.876287308083482e-06,57
80,111,S02001922,S02001953,5.369259177100264e-06,5.369259177100264e-06,58
80,73,S02001922,S02001915,4.92174722804018e-06,4.92174722804018e-06,59
80,109,S02001922,S02001951,4.232426431570903e-06,4.232426431570903e-06,60
80,72,S02001922,S02001914,4.087703919268334e-06,4.087703919268334e-06,61
80,116,S02001922,S02001958,3.982395544881401e-06,3.982395544881401e-06,62
80,95,S02001922,S02001937,3.959979133027046e-06,3.959979133027046e-06,63
80,122,S02001922,S02001964,3.83296988406755e-06,3.83296988406755e-06,64
