iz_code,node_index,node_order_hash,z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7
S02001880,38,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-0.4944809377193451,0.2720530331134796,0.4286811947822571,-0.6771581768989563,1.4373360872268677,-1.7914866209030151,1.2874464988708496,-0.32595375180244446
S02001881,39,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-1.1449458599090576,1.074838399887085,1.50767982006073,-0.4256623089313507,0.187543123960495,-1.4875730276107788,0.9609012603759766,-0.46311455965042114
S02001882,40,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-1.195739984512329,1.0958878993988037,1.539147138595581,-0.349660724401474,0.20512355864048004,-1.4273936748504639,0.8977893590927124,-0.5514429807662964
S02001883,41,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-0.7738227844238281,0.10727609694004059,0.6245141625404358,-0.7420227527618408,1.113895297050476,-1.818698763847351,1.3760234117507935,0.24616611003875732
S02001884,42,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-0.787006139755249,0.030418869107961655,0.44164881110191345,-0.4876377284526825,1.3704839944839478,-1.857940673828125,1.2737993001937866,0.13415108621120453
S02001885,43,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-0.7949828505516052,-0.5024896264076233,1.0586249828338623,-0.414482444524765,1.0028854608535767,-1.778315782546997,1.3182322978973389,0.29111307859420776
S02001886,44,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-0.7844721674919128,-0.47913479804992676,0.9777384996414185,-0.41893696784973145,0.9584220051765442,-1.732791543006897,1.4996106624603271,0.1641778200864792
S02001887,45,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-0.663892924785614,-0.5914614796638489,1.0081202983856201,-0.4100508391857147,0.9741300344467163,-1.7643624544143677,1.4450299739837646,0.1903851181268692
S02001888,46,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-0.8933880925178528,0.24279631674289703,1.0795432329177856,-0.34904226660728455,0.7837743759155273,-1.8241968154907227,1.443342924118042,-0.28974270820617676
S02001889,47,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-0.9029660224914551,0.35633644461631775,1.2487033605575562,-0.2170373648405075,0.4178294837474823,-1.914328694343567,1.3802011013031006,-0.17098262906074524
S02001890,48,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-0.5974608063697815,-0.5189450979232788,1.2009356021881104,-0.04815017059445381,0.7085188031196594,-1.8864306211471558,1.462141752243042,-0.10595287382602692
S02001891,49,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-0.6682265996932983,0.014631793834269047,1.4800258874893188,-0.12686102092266083,0.3262496888637543,-2.012507438659668,1.2644321918487549,-0.05902760103344917
S02001892,50,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-0.9184053540229797,0.28096523880958557,0.8980932831764221,-0.448742538690567,0.6122739911079407,-1.9315574169158936,1.4475351572036743,0.21394790709018707
S02001893,51,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-0.8937974572181702,0.7649977803230286,1.1490997076034546,-0.3765510320663452,0.4044225513935089,-1.9710028171539307,1.1518303155899048,-0.06039322167634964
S02001894,52,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-0.93833988904953,0.5076389908790588,1.4763939380645752,-0.3316575884819031,0.1829681247472763,-1.824302077293396,1.2601367235183716,-0.12183810770511627
S02001895,53,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-1.182911992073059,0.5432873964309692,1.1922409534454346,-0.4354061782360077,0.4403233826160431,-1.7454898357391357,1.3116284608840942,0.053462471812963486
S02001896,54,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-1.2123616933822632,0.4624125063419342,1.2239950895309448,-0.4379771053791046,0.5123202204704285,-1.694516897201538,1.335469126701355,-0.004299110267311335
S02001897,55,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-0.9896248579025269,-0.1584772765636444,0.9109544157981873,-0.5593022108078003,1.2205811738967896,-1.7618061304092407,1.09771728515625,0.3872966766357422
S02001898,56,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-1.0759673118591309,0.11569973081350327,0.7944126725196838,-0.4339645504951477,1.060817837715149,-1.8437042236328125,1.2301584482192993,0.2894229590892792
S02001899,57,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-0.8961308598518372,-0.013419581577181816,0.624419629573822,-0.555022120475769,1.423775315284729,-1.8392972946166992,0.9573792815208435,0.41130292415618896
S02001900,58,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-0.9719618558883667,0.17451238632202148,0.7843738198280334,-0.4939335584640503,1.116919994354248,-1.8902206420898438,1.179185390472412,0.2371988743543625
S02001901,59,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-0.7926620244979858,0.016407819464802742,0.5356109738349915,-0.5378536581993103,1.4472746849060059,-1.8977035284042358,0.9777922630310059,0.35871297121047974
S02001902,60,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-0.9809237718582153,0.02223028801381588,0.6950827240943909,-0.5426573753356934,1.320979118347168,-1.8320059776306152,0.9924715161323547,0.4423891305923462
S02001903,61,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-0.8372119665145874,-0.039113759994506836,0.6541112661361694,-0.38398346304893494,1.3706904649734497,-1.9475229978561401,0.9955108165740967,0.3077925145626068
S02001904,62,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-1.2118110656738281,1.0593225955963135,1.3700478076934814,-0.33905816078186035,0.3518937826156616,-1.671159029006958,0.8435236215591431,-0.22285005450248718
S02001905,63,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-1.1124156713485718,1.0972707271575928,1.5830744504928589,-0.15307290852069855,-0.23303711414337158,-1.694581151008606,0.6551002860069275,0.040506456047296524
S02001906,64,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-0.8326660394668579,0.2039491832256317,0.5162103772163391,-0.647933840751648,1.1851263046264648,-1.8979862928390503,1.1948432922363281,0.3863149881362915
S02001907,65,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-1.220937967300415,1.391162395477295,1.4237315654754639,-0.23145858943462372,0.07739745080471039,-1.490461826324463,0.5865423083305359,-0.35775619745254517
S02001908,66,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-1.198375940322876,1.2821083068847656,1.1474642753601074,-0.37935808300971985,0.5189271569252014,-1.642514944076538,0.7251501083374023,-0.29813385009765625
S02001909,67,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-1.006791114807129,0.17845314741134644,0.7703793048858643,-0.563292920589447,0.8609848022460938,-1.8489924669265747,1.353774905204773,0.390177458524704
S02001910,68,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-1.10004460811615,0.47413355112075806,1.2604575157165527,-0.5281252861022949,0.37724149227142334,-1.779221773147583,1.2763473987579346,0.1978222280740738
S02001911,69,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-1.1994112730026245,0.45951494574546814,1.102782130241394,-0.46060410141944885,0.5519663095474243,-1.7188048362731934,1.3802841901779175,0.05717488378286362
S02001912,70,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-1.0600062608718872,0.819455087184906,0.7665135264396667,-0.5352611541748047,0.7323768734931946,-1.825137972831726,1.2476401329040527,-0.011387140490114689
S02001913,71,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-0.8920471668243408,0.14538682997226715,0.8265681862831116,-0.5833293199539185,0.7294782400131226,-1.870149850845337,1.4706493616104126,0.3217369019985199
S02001914,72,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-1.1916937828063965,0.9181472659111023,1.213133454322815,-0.342847615480423,0.33254802227020264,-1.7214164733886719,1.132799506187439,-0.16576826572418213
