IntZone,node_index,train_mean,train_std,effective_scale,n_unique_training_input_observations,first_training_input_date,last_training_input_date,epsilon,ddof,fitting_policy,scaling_mode,zero_or_near_zero_variance
S02001923,81,210.9341976967874,284.59057667934405,284.59057667934405,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001924,82,232.2876746634893,337.2813599223107,337.2813599223107,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001925,83,252.97423561840674,307.95400429977593,307.95400429977593,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001926,84,291.55117336810133,428.5423493795162,428.5423493795162,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001927,85,230.49451001537284,374.16712324654173,374.16712324654173,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001928,86,206.51927768239347,342.9659192345508,342.9659192345508,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001929,87,287.15876132041575,413.3018601798119,413.3018601798119,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001930,88,245.48723076620098,410.71360370744065,410.71360370744065,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001931,89,205.87780106953764,306.958153453686,306.958153453686,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001932,90,231.2250603191132,349.22262222901134,349.22262222901134,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001933,91,232.00152423972287,365.85973383997754,365.85973383997754,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001934,92,232.10304541041222,353.4676877729268,353.4676877729268,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001935,93,219.4719178275203,340.4707441613353,340.4707441613353,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001936,94,188.31036810907023,335.3218664303144,335.3218664303144,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001937,95,251.74244163674499,392.55281114231497,392.55281114231497,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001938,96,246.77139920716428,347.2403564150134,347.2403564150134,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001939,97,234.98084649163636,356.4783289186333,356.4783289186333,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001940,98,267.265230955697,426.52471164404994,426.52471164404994,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001941,99,297.34780505313483,566.9603731247068,566.9603731247068,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001942,100,285.13804173904265,402.92106465119286,402.92106465119286,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001943,101,338.0903695109645,521.454330698195,521.454330698195,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001944,102,344.19599106831845,497.60052026771626,497.60052026771626,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001945,103,336.06155992155726,482.25809150110825,482.25809150110825,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001946,104,308.73923220945585,521.6041181748859,521.6041181748859,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001947,105,268.3517565236695,397.24356879309653,397.24356879309653,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001948,106,285.9549228784776,445.13009690762465,445.13009690762465,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001949,107,224.10142985019505,329.23098869180063,329.23098869180063,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001950,108,228.8957084198266,359.27723841003615,359.27723841003615,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001951,109,239.37218369091488,413.1183065332358,413.1183065332358,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001952,110,243.73074579573824,400.2562938806158,400.2562938806158,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001953,111,178.1455215360065,304.7755706101384,304.7755706101384,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001954,112,198.37941306147908,356.0705769825738,356.0705769825738,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001955,113,239.07171170576146,388.03952605835724,388.03952605835724,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001956,114,225.58615988054837,372.7855262871781,372.7855262871781,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001957,115,238.41059602648738,361.5981982976102,361.5981982976102,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001958,116,245.8852377772794,401.65737303799926,401.65737303799926,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001959,117,210.65227186729646,343.0940368987292,343.0940368987292,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001960,118,247.96806935902967,458.38035645251426,458.38035645251426,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001961,119,225.10482849829728,321.98367498645075,321.98367498645075,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001962,120,238.93110518547263,402.6254145063747,402.6254145063747,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001963,121,242.09204065319523,320.2160427699776,320.2160427699776,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001964,122,256.47744031621704,399.0122573239084,399.0122573239084,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001965,123,336.6654155239955,486.9952676856785,486.9952676856785,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001966,124,303.7478147936446,443.5833260016295,443.5833260016295,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001967,125,245.3780593124625,362.82476493176546,362.82476493176546,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001968,126,228.64752652681676,342.3397172629989,342.3397172629989,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001969,127,240.32951384026975,356.23919826718065,356.23919826718065,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001970,128,221.4916241925359,381.34461681666227,381.34461681666227,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001971,129,249.41095427871502,355.53598645783694,355.53598645783694,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001972,130,270.8706153131031,429.4715443975252,429.4715443975252,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001973,131,276.257065990997,397.4492993987123,397.4492993987123,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001974,132,333.4685815618865,528.0395272710006,528.0395272710006,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001975,133,365.0899510054427,555.7423275232405,555.7423275232405,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001976,134,341.8332719269353,525.7379934645659,525.7379934645659,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001977,135,332.11607006188405,532.0473686761358,532.0473686761358,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
