issue_date,target_report_date,update_id,checkpoint_id,iz_code,node_index,observed_rate,anchor_rate_y_t,predicted_delta,predicted_rate,predicted_sigma,calibrated80_lower,calibrated80_upper,calibrated95_lower,calibrated95_upper,uncertainty_flag,persistence_prediction,model_error,model_absolute_error,persistence_absolute_error,alpha_geo,alpha_transport,alpha_mobility,node_order_hash,forecast_status,observed_target_available
2023-02-18,2023-02-25,U10,U10,S02001620,44,15.29987760097919,15.29987760097919,9.891559600830078,25.19143720180927,37.36891555786133,7.40087531126429,42.98199909235424,-5.500787078914179,55.88366148253272,normal,15.29987760097919,9.891559600830078,9.891559600830078,0.0,0.3181084990501404,0.3234014213085174,0.3584901392459869,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,retrospective_evaluation,True
2023-02-18,2023-02-25,U10,U10,S02001621,45,11.775788977861517,35.32736693358455,-6.479150772094727,28.848216161489823,38.49064254760742,10.523623429068447,47.1728088939112,-2.7653165339164048,60.46174885689605,normal,35.32736693358455,17.072427183628307,17.072427183628307,23.551577955723037,0.3181084990501404,0.3234014213085174,0.3584901392459869,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,retrospective_evaluation,True
2023-02-18,2023-02-25,U10,U10,S02001622,46,14.596409283316303,14.596409283316303,2.9260857105255127,17.522494993841818,45.87817001342773,-4.319145601402234,39.36413558908587,-20.15863817848706,55.203628166170695,normal,14.596409283316303,2.9260857105255145,2.9260857105255145,0.0,0.3181084990501404,0.3234014213085174,0.3584901392459869,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,retrospective_evaluation,True
2023-02-18,2023-02-25,U10,U10,S02001623,47,32.48511099079588,10.828370330265296,19.817522048950195,30.64589237921549,33.51240921020508,14.691332787239345,46.60045197119163,3.12113378475274,58.17065097367824,normal,10.828370330265296,-1.8392186115803923,1.8392186115803923,21.656740660530588,0.3181084990501404,0.3234014213085174,0.3584901392459869,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,retrospective_evaluation,True
2023-02-18,2023-02-25,U10,U10,S02001624,48,34.21142661648991,34.21142661648991,3.403383016586304,37.61480963307621,43.42496109008789,16.941090678842517,58.28852858730991,1.9485713903589288,73.28104787579349,normal,34.21142661648991,3.403383016586304,3.403383016586304,0.0,0.3181084990501404,0.3234014213085174,0.3584901392459869,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,retrospective_evaluation,True
2023-02-18,2023-02-25,U10,U10,S02001625,49,19.31620629708325,77.264825188333,-34.84703063964844,42.41779454868457,47.96562957763672,19.582357959720348,65.25323113764878,3.0221674938013408,81.8134216035678,normal,77.264825188333,23.10158825160132,23.10158825160132,57.94861889124975,0.3181084990501404,0.3234014213085174,0.3584901392459869,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,retrospective_evaluation,True
2023-02-18,2023-02-25,U10,U10,S02001626,50,19.338619222587507,19.338619222587507,15.860633850097656,35.19925307268517,41.07868957519531,15.642545087985424,54.75596105738491,1.4600788210824618,68.93842732428787,normal,19.338619222587507,15.86063385009766,15.86063385009766,0.0,0.3181084990501404,0.3234014213085174,0.3584901392459869,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,retrospective_evaluation,True
2023-02-18,2023-02-25,U10,U10,S02001627,51,16.636167027116954,49.908501081350856,-3.6054396629333496,46.30306141841751,53.54243087768555,20.81262595676273,71.79349688007228,2.327038231751942,90.27908460508309,normal,49.908501081350856,29.66689439130056,29.66689439130056,33.2723340542339,0.3181084990501404,0.3234014213085174,0.3584901392459869,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,retrospective_evaluation,True
2023-02-18,2023-02-25,U10,U10,S02001628,52,20.54653790836244,20.54653790836244,31.35820770263672,51.90474561099916,50.87286376953125,27.68523541301827,76.12425580898005,10.121318896367882,93.68817232563045,normal,20.54653790836244,31.35820770263672,31.35820770263672,0.0,0.3181084990501404,0.3234014213085174,0.3584901392459869,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,retrospective_evaluation,True
2023-02-18,2023-02-25,U10,U10,S02001629,53,137.7410468319559,27.54820936639118,17.107452392578125,44.6556617589693,49.560001373291016,21.06117798643863,68.25014553149998,3.9505287682418384,85.36079474969677,normal,27.54820936639118,-93.0853850729866,93.0853850729866,110.19283746556474,0.3181084990501404,0.3234014213085174,0.3584901392459869,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,retrospective_evaluation,True
