iz_code,predicted_rate,predicted_sigma
S02001921,47.12902888730518,37.3995475769043
S02001922,42.25604292759709,42.0363655090332
S02001923,57.2048732072879,57.87118148803711
S02001924,38.8753714001762,30.91893196105957
S02001925,74.13966090594658,43.47730255126953
S02001926,52.88170985797133,35.23292541503906
S02001927,39.262750615694834,29.834829330444336
S02001928,40.43564753173991,30.69028663635254
S02001929,31.239798013117703,28.17245483398437
S02001930,42.70637302764239,30.95047187805176
S02001931,37.03207205218976,31.657371520996094
S02001932,39.615998697127154,30.754379272460938
S02001933,32.997734586021416,28.99217796325684
S02001934,41.97960476034673,30.413646697998047
S02001935,61.39118579971843,32.85188674926758
S02001936,42.82978144910635,26.47940444946289
S02001937,40.22118375679706,23.799806594848636
S02001938,53.36012295314244,27.0166015625
S02001939,46.83199057434545,32.69202423095703
S02001940,42.70036483098578,28.996597290039062
S02001941,37.46392637323144,29.003284454345703
S02001942,42.02485420218578,37.83873748779297
S02001943,63.54393161603197,54.33220291137695
S02001944,51.5677890358522,49.4940299987793
S02001945,49.764125258011006,48.54804229736328
S02001946,45.83625559358134,37.1917839050293
S02001947,47.83962057632824,38.77996826171875
S02001948,49.12362770694311,35.8173942565918
S02001949,44.069394406085735,42.82017517089844
S02001950,33.23426862810592,25.896076202392575
S02001951,35.443201485930594,28.30194664001465
S02001952,34.09810502231215,25.286191940307617
S02001953,34.46200882603486,23.517871856689453
S02001954,34.38792116082482,37.50241470336914
S02001955,35.639654198823294,27.33339500427246
S02001956,37.40548215603029,26.54771041870117
S02001957,37.343049114639925,25.704086303710938
S02001958,34.682110358515736,29.66219711303711
S02001959,38.73661478614113,28.898868560791016
S02001960,44.523429932731766,32.47768020629883
S02001961,38.866181353966965,29.227258682250977
S02001962,40.2274644350577,29.5959529876709
S02001963,37.87870590572511,32.131587982177734
S02001964,38.01079126054365,29.67129135131836
S02001965,43.17317330711937,37.30335235595703
S02001966,41.33047353799704,35.61016845703125
S02001967,35.67797780731936,34.50408935546875
S02001968,38.33824981082904,35.164398193359375
S02001969,40.94282458680453,32.13454818725586
S02001970,37.49220377897284,29.68228530883789
S02001971,43.74276326314437,42.52316665649414
S02001972,43.48760007921773,36.59526062011719
S02001973,26.468253134244414,41.39841842651367
S02001974,39.1572834857719,42.52702331542969
S02001975,42.57010314924958,39.40287780761719
S02001976,42.64516042590314,38.0315055847168
S02001977,45.14056480353605,37.36382293701172
