site_id,site_name,site_type,easting,northing,iz_code,iz_easting,iz_northing,suitability,coord_source,PracticeCode,GPPracticeName,PracticeListSize,AddressLine1,AddressLine2,AddressLine3,AddressLine4,Postcode,TelephoneNumber,PracticeType,Dispensing,HB,HSCP,DataZone_x,GPCluster,DataZone_y,IntZone,pc_easting,pc_northing,DispCode,DispLocationName,DispLocationAddress1,DispLocationAddress2,DispLocationAddress3,DispLocationAddress4,DispLocationPostcode,DispLocationTelNo,hb2019,hscp2019,datazone2011,datazone2001,DataZone,capacity,parking,fee,access,operator,surface,park_and_ride
GP_70521,The Hopetoun Practice,gp,326187.0,674834.0,S02001655,325882.0,674691.0,confirmed,Postcode_centroid,70521.0,The Hopetoun Practice,7396.0,The Hopetoun Practice,Bellevue Medical Centre,26 Huntingdon Place,Edinburgh,EH7 4AT,0131 556  2642,17J,N,S08000024,S37000012,S01008845,Edinburgh North East - Leith,S01008845,S02001655,326187.0,674834.0,,,,,,,,,,,,,,,,,,,,
GP_70535,Blackhall Medical Centre,gp,321579.49,674855.27,S02001664,321217.0,674803.0,confirmed,OSM_exact_building,70535.0,Blackhall Medical Centre,6714.0,Blackhall Medical Centre,49-51 Hillhouse Road,Edinburgh,,EH4 3TH,0131 332  7696,17C,N,S08000024,S37000012,S01008893,Edinburgh North West - Tower,S01008893,S02001664,321652.0,674811.0,,,,,,,,,,,,,,,,,,,,
GP_70569,Restalrig Park Medical Centre,gp,327850.49,675270.68,S02001638,328203.0,675053.0,confirmed,OSM_exact_building,70569.0,Restalrig Park Medical Centre,6052.0,Restalrig Park Medical Centre,40 Alemoor Crescent,Edinburgh,,EH7 6UJ,0131 454  2110,2C,N,S08000024,S37000012,S01008760,Edinburgh North East - Leith,S01008760,S02001638,327891.0,675227.0,,,,,,,,,,,,,,,,,,,,
GP_70573,Crewe Medical Centre,gp,322855.8,676494.05,S02001667,323680.0,676408.0,confirmed,OSM_exact_building,70573.0,Crewe Medical Centre,10188.0,Crewe Medical Centre,135 Boswall Parkway,Edinburgh,,EH5 2LY,0131 552  5544,17C,N,S08000024,S37000012,S01008909,Edinburgh North West - Bridge,S01008909,S02001667,322835.0,676495.0,,,,,,,,,,,,,,,,,,,,
GP_70588,The Southern Medical Group,gp,328154.1,669773.26,S02001606,328024.0,669334.0,confirmed,OSM_exact_building,70588.0,The Southern Medical Group,8218.0,The Southern Medical Group,322 Gilmerton Road,Edinburgh,,EH17 7PR,0131 664  2148,17J,N,S08000024,S37000012,S01008576,Edinburgh South East - South,S01008576,S02001606,328109.0,669871.0,,,,,,,,,,,,,,,,,,,,
GP_70592,University Health Service,gp,325895.04,673164.89,S02001621,326258.0,672722.0,confirmed,OSM_exact_building,70592.0,University Health Service,23934.0,University Health Service,6 Bristo Square,Edinburgh,,EH8 9AL,0131 650  2777,17J,N,S08000024,S37000012,S01008673,Edinburgh South East - South,S01008673,S02001621,325894.0,673187.0,,,,,,,,,,,,,,,,,,,,
GP_70605,Durham Road Medical Group,gp,330168.2,673243.88,S02001633,330102.0,673005.0,confirmed,OSM_exact_building,70605.0,Durham Road Medical Group,6044.0,Durham Road Medical Group,25 Durham Road,Edinburgh,,EH15 1NY,0131 669  1153,17J,N,S08000024,S37000012,S01008735,Edinburgh North East - East,S01008735,S02001633,330148.0,673291.0,,,,,,,,,,,,,,,,,,,,
GP_70610,Craiglockhart Medical Group,gp,322734.98,669447.99,S02001596,323246.0,669270.0,confirmed,OSM_exact_building,70610.0,Craiglockhart Medical Group,9539.0,Craiglockhart Medical Group,Allermuir Health Centre,165 Colinton Mains Drive,Edinburgh,EH13 9AF,0131 312  2140,17J,N,S08000024,S37000012,S01008526,Edinburgh South West - Pentlands,S01008526,S02001596,322772.0,669351.0,,,,,,,,,,,,,,,,,,,,
GP_70639,Dr A Comiskey and Partners,gp,327220.0,670840.0,S02001609,326619.0,671290.0,confirmed,Postcode_centroid,70639.0,Dr A Comiskey and Partners,11549.0,Dr A Comiskey and Partners,Conan Doyle Medical Centre,4 Nether Liberton Lane,Edinburgh,EH16 5TY,0131 666  5160,17C,N,S08000024,S37000012,S01008587,Edinburgh North East - East,S01008587,S02001609,327220.0,670840.0,,,,,,,,,,,,,,,,,,,,
GP_70658,Baronscourt Surgery,gp,328849.85,674136.1,S02001634,329375.0,673802.0,confirmed,OSM_exact_building,70658.0,Baronscourt Surgery,7342.0,Baronscourt Surgery,89 Northfield Broadway,Edinburgh,,EH8 7RX,0131 657  5444,17J,N,S08000024,S37000012,S01008742,Edinburgh North East - East,S01008742,S02001634,328865.0,674091.0,,,,,,,,,,,,,,,,,,,,
GP_70662,Muirhouse Medical Group,gp,321980.93,675959.15,S02001671,321340.0,675908.0,confirmed,OSM_exact_building,70662.0,Muirhouse Medical Group,18937.0,Muirhouse Medical Group,Muirhouse Medical Centre,1 Muirhouse Avenue,Edinburgh,EH4 4PL,0131 202  4444,17J,N,S08000024,S37000012,S01008930,Edinburgh North West - Bridge,S01008930,S02001671,321816.0,675949.0,,,,,,,,,,,,,,,,,,,,
GP_70709,Davidson's Mains Medical Centre,gp,320663.12,675177.54,S02001672,320690.0,675779.0,confirmed,OSM_exact_building,70709.0,Davidson's Mains Medical Centre,5871.0,Davidson's Mains Medical Centre,5 Quality Street,Davidsons Mains,Edinburgh,EH4 5BP,0131 336  2291,17C,N,S08000024,S37000012,S01008937,Edinburgh North West - Tower,S01008937,S02001672,320610.0,675250.0,,,,,,,,,,,,,,,,,,,,
GP_70747,Summerside Medical Practice,gp,326036.01,676386.36,S02001650,325821.0,676691.0,confirmed,OSM_exact_building,70747.0,Summerside Medical Practice,6450.0,Summerside Medical Practice,Summerside Medical Centre,29b Summerside Place,Edinburgh,EH6 4NY,0131 554  3533,17J,N,S08000024,S37000012,S01008821,Edinburgh North East - Leith,S01008821,S02001650,325992.0,676409.0,,,,,,,,,,,,,,,,,,,,
GP_70766,Marchmont Medical Practice,gp,325388.0,672450.0,S02001614,325258.0,672241.0,confirmed,Postcode_centroid,70766.0,Marchmont Medical Practice,1707.0,Marchmont Medical Practice,10 Warrender Park Terrace,Edinburgh,,EH9 1JA,0131 229  6314,17J,N,S08000024,S37000012,S01008621,Edinburgh South East - North,S01008621,S02001614,325388.0,672450.0,,,,,,,,,,,,,,,,,,,,
GP_70785,St Triduana's Medical Practice,gp,329351.37,674267.19,S02001634,329375.0,673802.0,confirmed,OSM_exact_building,70785.0,St Triduana's Medical Practice,11830.0,St Triduana's Medical Practice,54 Moira Park,Edinburgh,,EH7 6RU,0131 657  3341,17J,N,S08000024,S37000012,S01008742,Edinburgh North East - East,S01008742,S02001634,329353.0,674276.0,,,,,,,,,,,,,,,,,,,,
