site_id,site_name,site_type,easting,northing,iz_code,iz_easting,iz_northing,suitability,coord_source,DispCode,DispLocationName,DispLocationAddress1,DispLocationAddress2,DispLocationAddress3,DispLocationAddress4,DispLocationPostcode,DispLocationTelNo,hb2019,hscp2019,datazone2011,datazone2001,DataZone,IntZone,pc_easting,pc_northing
PH_2360,LLOYDS PHARMACY LTD,pharmacy,322003.0,673116.0,S02001661,321844.0,672727.0,confirmed,Postcode_centroid,2360,LLOYDS PHARMACY LTD,115 CORSTORPHINE ROAD,EDINBURGH,NA,NA,EH125PZ,0131 3375100,S08000024,S37000012,S01008877,S01002072,S01008877,S02001661,322003.0,673116.0
PH_2361,LLOYDS PHARMACY LTD,pharmacy,326537.0,675048.0,S02001646,326720.0,675164.0,confirmed,Postcode_centroid,2361,LLOYDS PHARMACY LTD,6-7 CRIGHTON PLACE,EDINBURGH,NA,NA,EH7 4NZ,0131 554 1373,S08000024,S37000012,S01008805,S01002217,S01008805,S02001646,326537.0,675048.0
PH_2362,LLOYDS PHARMACY LTD,pharmacy,324611.0,674583.0,S02001658,324545.0,674546.0,confirmed,Postcode_centroid,2362,LLOYDS PHARMACY LTD,7/9 DEANHAUGH STREET,EDINBURGH,NA,NA,EH4 1LU,0131 3325721,S08000024,S37000012,S01008859,S01002195,S01008859,S02001658,324611.0,674583.0
PH_2363,LLOYDS PHARMACY LTD,pharmacy,329209.0,668825.0,S02001604,329436.0,669311.0,confirmed,Postcode_centroid,2363,LLOYDS PHARMACY LTD,2 FERNIEHILL ROAD,EDINBURGH,NA,NA,EH177AB,0131 664 3295,S08000024,S37000012,S01008565,S01001847,S01008565,S02001604,329209.0,668825.0
PH_2365,LLOYDS PHARMACY LTD,pharmacy,321854.0,676111.0,S02001671,321340.0,675908.0,confirmed,Postcode_centroid,2365,LLOYDS PHARMACY LTD,6 MACMILLAN SQUARE,EDINBURGH,NA,NA,EH4 4AB,0131 3152136,S08000024,S37000012,S01008930,S01002282,S01008930,S02001671,321854.0,676111.0
PH_2368,LLOYDS PHARMACY LTD,pharmacy,319791.0,669912.0,S02001584,320373.0,670216.0,confirmed,Postcode_centroid,2368,LLOYDS PHARMACY LTD,26 WESTER HAILES CRESCENT,SHOPPING CENTRE,EDINBURGH,NA,EH142SW,0131 4423118,S08000024,S37000012,S01008459,S01001880,S01008459,S02001584,319791.0,669912.0
PH_2379,LLOYDS PHARMACY LTD,pharmacy,312850.0,678324.0,S02001685,313307.0,677900.0,confirmed,Postcode_centroid,2379,LLOYDS PHARMACY LTD,UNIT 33,THE LOAN,SOUTH QUEENSFERRY,NA,EH309SD,0131 3314347,S08000024,S37000012,S01009008,S01002335,S01009008,S02001685,312850.0,678324.0
PH_2380,BOOTS UK LTD,pharmacy,320776.94,675437.15,S02001672,320690.0,675779.0,confirmed,OSM_exact_building,2380,BOOTS UK LTD,58-60 MAIN STREET,DAVIDSONS MAINS,EDINBURGH,NA,EH4 5AA,0131 312 8600,S08000024,S37000012,S01008937,S01002215,S01008937,S02001672,320733.0,675433.0
PH_2381,BOOTS UK LTD,pharmacy,323766.78,674660.63,S02001659,324046.0,674535.0,confirmed,OSM_exact_building,2381,BOOTS UK LTD,151 COMELY BANK,EDINBURGH,NA,NA,EH4 1BH,0131 3322073,S08000024,S37000012,S01008864,S01002231,S01008864,S02001659,323788.0,674662.0
PH_2383,BOOTS UK LTD,pharmacy,324186.95,673336.71,S02001660,324025.0,673464.0,confirmed,OSM_exact_building,2383,BOOTS UK LTD,32 WEST MAITLAND STREET,EDINBURGH,NA,NA,EH125DX,0131 2257436,S08000024,S37000012,S01008871,S01002115,S01008871,S02001660,324169.0,673335.0
PH_2396,BOOTS UK LTD,pharmacy,330924.44,671675.52,S02001630,330866.0,672281.0,confirmed,OSM_exact_building,2396,BOOTS UK LTD,UNIT 1,EDINBURGH FORT RETAIL PARK,NEWCRAIGHALL,EDINBURGH,EH153HS,0131 669 4428,S08000024,S37000012,S01008720,S01001962,S01008720,S02001630,331234.0,671634.0
PH_2397,EDINBURGH MEDICAL RESOURCES (UK) LTD,pharmacy,324102.0,672267.0,S02001617,324371.0,672313.0,confirmed,Postcode_centroid,2397,EDINBURGH MEDICAL RESOURCES (UK) LTD,10 POLWARTH GARDENS,EDINBURGH,NA,NA,EH111LW,0131 2293199,S08000024,S37000012,S01008644,S01002032,S01008644,S02001617,324102.0,672267.0
