source_node_index,target_node_index,source_iz_code,target_iz_code,weight,shared_boundary_length_m
70,78,S02001646,S02001654,1,307.44471053049847
71,78,S02001647,S02001654,1,284.7289221868938
71,79,S02001647,S02001655,1,363.018910330059
72,73,S02001648,S02001649,1,713.8017819228417
72,78,S02001648,S02001654,1,1675.8596923503812
73,74,S02001649,S02001650,1,760.4940896292127
73,76,S02001649,S02001652,1,941.0831899877667
73,77,S02001649,S02001653,1,935.043570462838
73,78,S02001649,S02001654,1,33.359496472077076
74,75,S02001650,S02001651,1,2369.529360322984
74,76,S02001650,S02001652,1,585.9554736142873
75,76,S02001651,S02001652,1,882.16327121775
75,91,S02001651,S02001667,1,1430.9940962410558
75,93,S02001651,S02001669,1,208.12589172664218
76,77,S02001652,S02001653,1,1421.0152800721403
76,82,S02001652,S02001658,1,1044.1739580213457
76,83,S02001652,S02001659,1,1041.6478420585267
76,87,S02001652,S02001663,1,881.7788485288328
76,91,S02001652,S02001667,1,1380.9468225802857
77,78,S02001653,S02001654,1,1101.9886394110288
77,79,S02001653,S02001655,1,127.91574652633366
77,81,S02001653,S02001657,1,517.6686096517628
77,82,S02001653,S02001658,1,304.63644646393516
78,79,S02001654,S02001655,1,1082.860666633484
79,80,S02001655,S02001656,1,278.87507497030975
79,81,S02001655,S02001657,1,568.5259708271453
80,81,S02001656,S02001657,1,1056.14451863123
80,82,S02001656,S02001658,1,1739.8651104118455
80,84,S02001656,S02001660,1,1575.1327287666309
81,82,S02001657,S02001658,1,968.2660190492535
82,83,S02001658,S02001659,1,1646.3320837608096
82,84,S02001658,S02001660,1,121.61753111646357
83,84,S02001659,S02001660,1,1145.5382924940611
83,87,S02001659,S02001663,1,2673.593419914406
84,85,S02001660,S02001661,1,789.5114051250317
84,86,S02001660,S02001662,1,994.0779454546475
84,87,S02001660,S02001663,1,772.7484149876971
85,86,S02001661,S02001662,1,1883.2474995903221
85,103,S02001661,S02001679,1,705.4203497093392
85,104,S02001661,S02001680,1,619.7805653800241
86,87,S02001662,S02001663,1,2024.1728682535093
86,88,S02001662,S02001664,1,3932.03717140258
86,103,S02001662,S02001679,1,389.0513040867121
87,88,S02001663,S02001664,1,397.7586527815514
87,89,S02001663,S02001665,1,1429.596607021184
87,90,S02001663,S02001666,1,10.656147186795003
87,91,S02001663,S02001667,1,266.65299034050827
88,89,S02001664,S02001665,1,1405.676988032511
88,96,S02001664,S02001672,1,1393.2631055487952
88,99,S02001664,S02001675,1,753.7970054506218
88,103,S02001664,S02001679,1,3454.4006775837397
89,90,S02001665,S02001666,1,767.7386448904994
89,95,S02001665,S02001671,1,821.6472944834879
89,96,S02001665,S02001672,1,162.265215003093
90,91,S02001666,S02001667,1,1351.1539365100825
90,93,S02001666,S02001669,1,322.01285085214045
90,94,S02001666,S02001670,1,1469.1726309804749
90,95,S02001666,S02001671,1,958.2041050567052
91,92,S02001667,S02001668,1,1496.4190942687994
91,93,S02001667,S02001669,1,1280.181047626126
92,93,S02001668,S02001669,1,1580.1599880973856
93,94,S02001669,S02001670,1,2151.232290482332
94,95,S02001670,S02001671,1,1109.8151154893017
94,96,S02001670,S02001672,1,1487.4421957260702
95,96,S02001671,S02001672,1,1086.086393008881
96,97,S02001672,S02001673,1,2343.624302342201
96,98,S02001672,S02001674,1,1286.207706318267
96,99,S02001672,S02001675,1,592.6271150185881
97,98,S02001673,S02001674,1,1747.011692465211
97,108,S02001673,S02001684,1,2011.0993653081514
98,99,S02001674,S02001675,1,869.4884711634999
98,100,S02001674,S02001676,1,610.4366099107577
98,107,S02001674,S02001683,1,1684.3035296097905
98,108,S02001674,S02001684,1,2725.8382771043507
99,100,S02001675,S02001676,1,865.9208497088633
99,101,S02001675,S02001677,1,306.8792040716241
99,102,S02001675,S02001678,1,2772.0520114037395
99,103,S02001675,S02001679,1,261.82511291817434
100,101,S02001676,S02001677,1,2195.4019936899176
100,107,S02001676,S02001683,1,1116.1315344509858
101,102,S02001677,S02001678,1,932.335218957589
101,103,S02001677,S02001679,1,128.832833167511
101,106,S02001677,S02001682,1,1274.6558405544706
101,107,S02001677,S02001683,1,1606.1646378836717
102,103,S02001678,S02001679,1,3503.215043858338
103,104,S02001679,S02001680,1,2187.5093175306056
103,105,S02001679,S02001681,1,1446.4852621278678
103,106,S02001679,S02001682,1,513.341538134075
104,105,S02001680,S02001681,1,1041.7379458742428
105,106,S02001681,S02001682,1,1746.5436299756045
106,107,S02001682,S02001683,1,3806.1612712245283
107,108,S02001683,S02001684,1,14048.546244618125
108,109,S02001684,S02001685,1,5284.999151040685
108,110,S02001684,S02001686,1,1730.2663785839347
109,110,S02001685,S02001686,1,1027.9258377131353
