source_node_index,target_node_index,source_iz_code,target_iz_code,multimodal_distance_km,shortest_mode,neighbour_rank,weight
33,45,S02001609,S02001621,1.6942089119222221,bicycle,5,0.30795818430715277
34,51,S02001610,S02001627,1.450069916116137,road,1,0.3649229217175858
34,33,S02001610,S02001609,1.689517323305959,bicycle,2,0.3089642387146559
34,35,S02001610,S02001611,1.7851743274600276,road,3,0.2890865354577472
34,36,S02001610,S02001612,1.7863483230313133,road,4,0.2888506949069882
34,32,S02001610,S02001608,2.007805723966865,walking,5,0.24763495808605318
35,45,S02001611,S02001621,0.6622007538123491,road,1,0.6310608000253363
35,37,S02001611,S02001613,0.8100258458097914,walking,2,0.5694301906495051
35,36,S02001611,S02001612,1.1509409512006323,walking,3,0.4492756390929342
35,47,S02001611,S02001623,1.367467270736241,bicycle,4,0.3864917054177719
35,33,S02001611,S02001609,1.4027063408417744,walking,5,0.3771385697795116
36,33,S02001612,S02001609,1.00526662957414,road,1,0.4971577727307468
36,37,S02001612,S02001613,1.1061284048432831,bicycle,2,0.4634922549752471
36,35,S02001612,S02001611,1.1509409512006321,bicycle,3,0.4492756390929343
36,45,S02001612,S02001621,1.442443522281081,bicycle,4,0.3668627956811328
36,38,S02001612,S02001614,1.7207648418836572,bicycle,5,0.30232502574961306
37,35,S02001613,S02001611,0.8100258458097913,bicycle,1,0.5694301906495052
37,45,S02001613,S02001621,0.8118609037376623,bicycle,2,0.5687042273766808
37,38,S02001613,S02001614,0.9986856484602531,bicycle,3,0.49943748521136744
37,36,S02001613,S02001612,1.0747455633710201,road,4,0.47371534564942996
37,47,S02001613,S02001623,1.4340734943957558,bicycle,5,0.3690036941886126
38,37,S02001614,S02001613,0.998685648460253,bicycle,1,0.4994374852113675
38,44,S02001614,S02001620,1.1880774787136672,walking,2,0.43782521577492045
38,41,S02001614,S02001617,1.2002970101081936,bicycle,3,0.4341217071294762
38,40,S02001614,S02001616,1.2345123986865978,bicycle,4,0.4239174943812879
38,39,S02001614,S02001615,1.5240220530454538,bicycle,5,0.34663613449216296
39,40,S02001615,S02001616,1.3322491831637429,bicycle,1,0.3960710238367036
39,18,S02001615,S02001594,1.4804615249051085,bicycle,2,0.35729376689110737
39,41,S02001615,S02001617,1.5191544949787148,walking,3,0.34781108979742487
39,38,S02001615,S02001614,1.524022053045454,walking,4,0.3466361344921629
39,36,S02001615,S02001612,1.8424556824543716,walking,5,0.2778009487774155
40,41,S02001616,S02001617,0.5963252783362195,road,1,0.660632664409932
40,42,S02001616,S02001618,1.1464678091874736,road,2,0.4506749117800074
40,38,S02001616,S02001614,1.2345123986865976,bicycle,3,0.423917494381288
40,43,S02001616,S02001619,1.2883138040615034,bicycle,4,0.4083549752372513
40,39,S02001616,S02001615,1.3903975985803443,bicycle,5,0.38037954285406345
41,40,S02001617,S02001616,0.5963252783362194,road,1,0.660632664409932
41,42,S02001617,S02001618,1.1076320687103034,road,2,0.46300800718866597
41,38,S02001617,S02001614,1.2002970101081936,bicycle,3,0.4341217071294762
