station_id,fclass,mode,snap_ok,snap_status,snap_distance_m,snap_node_index,snap_x,snap_y,Easting,Northing
4305266448,railway_station,walking,True,ok,14.566594505991727,14417,321032.94,670262.41,321047.02175700385,670258.6830984469
4305266450,railway_station,walking,True,ok,20.401770505071383,24254,322361.87,671087.89,322381.76590252115,671092.4050085947
4305266451,railway_station,walking,True,ok,16.73237374144916,13671,319845.15,669760.51,319852.5515864889,669775.5162936287
5240090773,railway_station,walking,True,ok,29.566665135554725,85516,331313.62,672672.04,331336.3117077905,672653.0854732376
5353113956,railway_station,walking,True,ok,7.468300312006836,36841,317636.29,672768.09,317639.35914958466,672774.8985116124
6451802275,railway_station,walking,True,ok,11.181536296204897,39938,323952.13,673133.21,323941.04580998246,673131.7377617046
7149998196,railway_station,walking,True,ok,28.236614786904763,46974,325784.0,673829.96,325762.172161761,673847.8723391112
7209253488,railway_station,walking,True,ok,6.600813354196798,82777,333097.49,671680.41,333094.40966582485,671674.5719970618
10075163239,railway_station,walking,True,ok,6.1403058536758035,19574,308485.31,670237.27,308488.5865367675,670242.4630398408
10075163240,railway_station,walking,True,ok,30.595334241766693,19579,308275.66,670263.85,308290.5738280945,670290.5642697623
10075163241,railway_station,walking,True,ok,25.164454796921834,19579,308275.66,670263.85,308288.8952266287,670242.4472300551
21559341,railway_station,rail,True,ok,95.73239821131358,108,318490.73,671287.81,318396.0763819301,671273.4787525467
21568010,railway_station,rail,True,ok_long,120.11395673209284,267,331900.09,671744.15,331957.54154254124,671638.6669072246
27453533,railway_station,rail,False,unsnapped,inf,-1,,,318927.1896426468,672257.2261265961
1974988736,railway_station,rail,True,ok_long,188.49933142744402,162,331951.95,669749.52,331958.65858480165,669937.8999162293
2958271254,railway_station,rail,True,ok,91.69329467945268,14,317588.18,668230.96,317660.9920739098,668286.6920570419
3182697213,railway_station,rail,True,ok,50.761648381842896,909,313891.91,677940.79,313907.11308496003,677892.3584900696
3182697217,railway_station,rail,True,ok,16.932092337884324,945,313140.18,680840.44,313145.451550947,680824.3494281782
3727341273,railway_station,rail,True,ok,2.270985168807358,27,310435.56,667129.17,310437.70816667273,667128.4332818836
4305266448,railway_station,rail,True,ok,45.939416991202876,73,321009.47,670232.22,321047.02175700385,670258.6830984469
4305266450,railway_station,rail,True,ok,67.89059714297656,88,322434.47,671135.2,322381.76590252115,671092.4050085947
4305266451,railway_station,rail,True,ok,51.43747883424005,66,319805.16,669755.52,319852.5515864889,669775.5162936287
5240090773,railway_station,rail,False,unsnapped,inf,-1,,,331336.3117077905,672653.0854732376
5353113956,railway_station,rail,False,unsnapped,inf,-1,,,317639.35914958466,672774.8985116124
6451802275,railway_station,rail,True,ok,57.93787392430515,825,323986.77,673167.32,323941.04580998246,673131.7377617046
7149998196,railway_station,rail,True,ok,10.03085612313435,420,325770.4,673853.61,325762.172161761,673847.8723391112
7209253488,railway_station,rail,False,unsnapped,inf,-1,,,333094.40966582485,671674.5719970618
10075163239,railway_station,rail,True,ok_long,496.56448690910673,567,308592.14,670728.11,308488.5865367675,670242.4630398408
10075163240,railway_station,rail,True,ok_long,383.96721050774494,568,308134.95,670641.58,308290.5738280945,670290.5642697623
10075163241,railway_station,rail,True,ok_long,427.7921234029454,568,308134.95,670641.58,308288.8952266287,670242.4472300551
