source_node_index,target_node_index,source_iz_code,target_iz_code,weight,shared_boundary_length_m
49,90,S02001891,S02001932,1,727.3643436360609
50,51,S02001892,S02001893,1,1618.104002750465
50,52,S02001892,S02001894,1,1313.5479705106
51,52,S02001893,S02001894,1,2825.1896879874976
52,53,S02001894,S02001895,1,1004.4329094903181
52,54,S02001894,S02001896,1,1126.1471052598326
52,70,S02001894,S02001912,1,1087.671005794216
52,87,S02001894,S02001929,1,2169.503297374963
52,89,S02001894,S02001931,1,879.674347493011
53,54,S02001895,S02001896,1,2679.287497877928
53,69,S02001895,S02001911,1,1893.443305050359
53,70,S02001895,S02001912,1,1161.2624541420118
54,55,S02001896,S02001897,1,2629.3150142791296
54,69,S02001896,S02001911,1,1249.6645602571589
55,56,S02001897,S02001898,1,3235.3877600063315
55,68,S02001897,S02001910,1,846.4267378489475
55,69,S02001897,S02001911,1,433.45876970143775
56,57,S02001898,S02001899,1,3940.567901741672
56,59,S02001898,S02001901,1,2786.540703695649
56,68,S02001898,S02001910,1,87.96590248499699
57,58,S02001899,S02001900,1,1600.959193289028
57,59,S02001899,S02001901,1,895.7463151801774
57,60,S02001899,S02001902,1,1058.5703247468307
57,67,S02001899,S02001909,1,228.51433474356443
57,68,S02001899,S02001910,1,832.1125728427039
58,59,S02001900,S02001901,1,1996.4167764695305
58,60,S02001900,S02001902,1,1483.142954522365
59,60,S02001901,S02001902,1,1911.5000649822973
59,61,S02001901,S02001903,1,3416.4865827473545
59,62,S02001901,S02001904,1,433.38931698666096
60,61,S02001902,S02001903,1,518.821880725557
60,66,S02001902,S02001908,1,1421.614325045857
60,67,S02001902,S02001909,1,969.5043995728663
61,62,S02001903,S02001904,1,1085.8050794640644
61,65,S02001903,S02001907,1,1235.7195196513378
61,66,S02001903,S02001908,1,439.2159340019118
62,63,S02001904,S02001905,1,2889.407008781433
62,64,S02001904,S02001906,1,3156.760258967752
62,65,S02001904,S02001907,1,138.68095051213228
63,64,S02001905,S02001906,1,2185.7367879012463
63,65,S02001905,S02001907,1,523.8761295186941
64,65,S02001906,S02001907,1,2051.7701701402743
64,66,S02001906,S02001908,1,532.109979593637
64,73,S02001906,S02001915,1,4277.583021124914
64,74,S02001906,S02001916,1,1186.3390368442726
64,76,S02001906,S02001918,1,640.8635298008746
65,66,S02001907,S02001908,1,2589.5098350867293
66,67,S02001908,S02001909,1,1546.6029740889965
66,72,S02001908,S02001914,1,1874.3225756148915
66,73,S02001908,S02001915,1,1657.1395155025118
67,68,S02001909,S02001910,1,2279.941206368119
67,70,S02001909,S02001912,1,1201.4338387387372
67,72,S02001909,S02001914,1,2909.5323198856295
